"highlight_id","tag_id","id","tag","id-2","highlight","book_id","id-3","title","author","year"
1,85,85,"Sherlock Holmes",1,"Desultory readers are seldom remarkable for the exactness of their learning. No man burdens his mind with small matters unless he has some very good reason for doing so.",20,20,"A Study In Scarlet","Sir Arthur Conan Doyle","1887"
1,91,91,"The Mind",1,"Desultory readers are seldom remarkable for the exactness of their learning. No man burdens his mind with small matters unless he has some very good reason for doing so.",20,20,"A Study In Scarlet","Sir Arthur Conan Doyle","1887"
2,82,82,"Problem Solving",2,"From a drop of water a logician could infer the possibility of an Atlantic or a Niagara without having seen or heard of one or the other. So all life is a great chain, the nature of which is known whenever we are shown a single link of it. Like all other arts, the Science of Deduction and Analysis is one which can only be acquired by long and patient study nor is life long enough to allow any mortal to attain the highest possible perfection in it. Before turning to those moral and mental aspects of the matter which present the greatest difficulties, let the enquirer begin by mastering more elementary problems. Let him, on meeting a fellow–mortal, learn at a glance to distinguish the history of the man, and the trade or profession to which he belongs. Puerile as such an exercise may seem, it sharpens the faculties of observation, and teaches one where to look and what to look for. By a man's finger nails, by his coat–sleeve, by his boot, by his trouser knees, by the callosities of his forefinger and thumb, by his expression, by his shirt cuffs—by each of these things a man's calling is plainly revealed. That all united should fail to enlighten the competent enquirer in any case is almost inconceivable.",20,20,"A Study In Scarlet","Sir Arthur Conan Doyle","1887"
2,85,85,"Sherlock Holmes",2,"From a drop of water a logician could infer the possibility of an Atlantic or a Niagara without having seen or heard of one or the other. So all life is a great chain, the nature of which is known whenever we are shown a single link of it. Like all other arts, the Science of Deduction and Analysis is one which can only be acquired by long and patient study nor is life long enough to allow any mortal to attain the highest possible perfection in it. Before turning to those moral and mental aspects of the matter which present the greatest difficulties, let the enquirer begin by mastering more elementary problems. Let him, on meeting a fellow–mortal, learn at a glance to distinguish the history of the man, and the trade or profession to which he belongs. Puerile as such an exercise may seem, it sharpens the faculties of observation, and teaches one where to look and what to look for. By a man's finger nails, by his coat–sleeve, by his boot, by his trouser knees, by the callosities of his forefinger and thumb, by his expression, by his shirt cuffs—by each of these things a man's calling is plainly revealed. That all united should fail to enlighten the competent enquirer in any case is almost inconceivable.",20,20,"A Study In Scarlet","Sir Arthur Conan Doyle","1887"
3,85,85,"Sherlock Holmes",3,"I consider that a man's brain originally is like a little empty attic, and you have to stock it with such furniture as you choose. A fool takes in all the lumber of every sort that he comes across, so that the knowledge which might be useful to him gets crowded out, or at best is jumbled up with a lot of other things so that he has a difficulty in laying his hands upon it. Now the skilful workman is very careful indeed as to what he takes into his brain–attic. He will have nothing but the tools which may help him in doing his work, but of these he has a large assortment, and all in the most perfect order. It is a mistake to think that that little room has elastic walls and can distend to any extent. Depend upon it there comes a time when for every addition of knowledge you forget something that you knew before. It is of the highest importance, therefore, not to have useless facts elbowing out the useful ones.",20,20,"A Study In Scarlet","Sir Arthur Conan Doyle","1887"
3,91,91,"The Mind",3,"I consider that a man's brain originally is like a little empty attic, and you have to stock it with such furniture as you choose. A fool takes in all the lumber of every sort that he comes across, so that the knowledge which might be useful to him gets crowded out, or at best is jumbled up with a lot of other things so that he has a difficulty in laying his hands upon it. Now the skilful workman is very careful indeed as to what he takes into his brain–attic. He will have nothing but the tools which may help him in doing his work, but of these he has a large assortment, and all in the most perfect order. It is a mistake to think that that little room has elastic walls and can distend to any extent. Depend upon it there comes a time when for every addition of knowledge you forget something that you knew before. It is of the highest importance, therefore, not to have useless facts elbowing out the useful ones.",20,20,"A Study In Scarlet","Sir Arthur Conan Doyle","1887"
4,82,82,"Problem Solving",4,"One's ideas must be as broad as Nature if they are to interpret Nature.",20,20,"A Study In Scarlet","Sir Arthur Conan Doyle","1887"
4,85,85,"Sherlock Holmes",4,"One's ideas must be as broad as Nature if they are to interpret Nature.",20,20,"A Study In Scarlet","Sir Arthur Conan Doyle","1887"
4,91,91,"The Mind",4,"One's ideas must be as broad as Nature if they are to interpret Nature.",20,20,"A Study In Scarlet","Sir Arthur Conan Doyle","1887"
5,72,72,"Latin",5,"Populus me sibilat, at mihi plaudo Ipse domi simul ac nummos contemplor in arca.
English: The public hiss at me, but I cheer myself when in my own house I contemplate the coins in my strong-box",20,20,"A Study In Scarlet","Sir Arthur Conan Doyle","1887"
